TS,SKT,CPU,PID,CMD,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization% in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),LLC total HITM (per instr) (excludes LLC prefetches),LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),UPI Data transmit BW (MB/sec) (only data),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),core initiated local dram read bandwidth (MB/sec),core initiated remote dram read bandwidth (MB/sec),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) 2MB large page load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_writes (MB/sec),IO_bandwidth_disk_or_network_reads (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_......Mispredicts_Resteers(%),TMA_......Clears_Resteers(%),TMA_......Unknown_Branches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_..Machine_Clears(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Lock_Latency(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Data_Sharing(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......False_Sharing(%),TMA_..Core_Bound(%),TMA_....Ports_Utilization(%),TMA_......Ports_Utilized_0(%),TMA_........AMX_Busy(%),TMA_......Ports_Utilized_1(%),TMA_......Ports_Utilized_2(%),TMA_......Ports_Utilized_3m(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_........FP_Vector_256b(%),TMA_........FP_Vector_512b(%),TMA_......Int_Vector_256b(%),TMA_..Heavy_Operations(%),TMA_....Microcode_Sequencer(%),TMA_Info_Thread_IPC,TMA_Info_System_SMT_2T_Utilization
1705366241,,,230190,stress-ng-cpu [run],,3.8994431,0.35154435,0.00039144216,0.45549928,1.7039724,2.1953931,7.7043317,2.6230266e-07,0.011424341,0.11377973,0.0012636325,0.011040767,0.00016019981,7.0226821e-06,3.1641148e-05,,,,,,,,,,,,,85.150091,13.874617,,,,,,1.7504953e-06,8.4468819e-07,3.3277395e-08,1.4872336e-06,,,,,,13.562723,6.1408484,0.33231281,0.02676476,1.5728581,1.5514511,0.020643755,0,7.421875,3.3489501,6.6767589,8.3122766,8.203125,0.10915155,39.0625,4.6875,6.7558232,4.6182896,6.2068641e-06,0.16043853,0.084739632,,0.019547378,0.052721059,0.20744143,0.9648645,,34.375,39.645339,3.2331652,0,26.492447,20.340044,39.051485,39.0625,33.59375,0,0,0.012749642,5.46875,0,2.1953931,8.6022948e-05
1705366241,,,230189,stress-ng-cpu [run],,3.8998725,0.35153326,0.00037726505,0.45148881,1.7992277,2.2148943,7.7733784,2.4639651e-07,0.011467625,0.11445482,0.0012237162,0.011003415,0.00015953035,8.4308476e-06,3.3471309e-05,,,,,,,,,,,,,84.600419,14.368766,,,,,,2.0108014e-06,9.4661965e-07,3.7293265e-08,1.5750344e-06,,,,,,13.224132,5.7731517,0.33787092,0.026772934,1.5866328,1.4904717,0.095275659,0,7.4509804,3.3927796,6.8661576,8.3444954,7.8431373,0.50135811,38.823529,5.1427901,6.5162428,5.0050334,6.0842228e-06,0.15445818,0.10228444,,0.0074631309,0.072202011,0.23518253,0.86988611,,33.680739,39.624224,3.2346683,0,26.368736,20.249067,39.128022,39.607843,34.117647,0,0,0.012688089,5.4901961,0,2.2148943,0
1705366241,,,230192,stress-ng-cpu [run],,3.9004676,0.35155566,0.00035453977,0.45394764,1.7222761,2.2028973,7.732946,2.619346e-07,0.011573752,0.11288425,0.0012792201,0.010855854,0.00016016302,1.1055627e-05,3.2084177e-05,,,,,,,,,,,,,84.878035,14.073729,,,,,,1.6044854e-06,8.6701675e-07,2.4503656e-08,1.4961675e-06,,,,,,13.276822,5.4028065,0.3371818,0.029625564,1.5759501,1.5544013,0.020493773,0,7.8740157,3.4129235,6.7114542,8.376721,8.2677165,0.10900448,38.582677,5.1603091,6.4497006,5.04016,6.3363706e-06,0.15591244,0.098576697,,0.018663203,0.067167569,0.24246958,0.85982045,,33.422368,40.387061,3.2103596,0,27.064557,20.47802,38.939291,39.76378,34.251969,0,0,0.012611462,5.511811,0,2.2028973,0
1705366241,,,230193,stress-ng-cpu [run],,3.8999587,0.35154047,0.00044109697,0.45240946,2.0656733,2.210387,7.7578899,2.7343663e-07,0.012271436,0.114148,0.0012534935,0.010916869,0.00016699397,7.995591e-06,3.2292858e-05,,,,,,,,,,,,,84.932268,14.085064,,,,,,1.8758216e-06,8.5564935e-07,3.9511771e-08,1.4886383e-06,,,,,,13.275,5.4009844,0.3394311,0.026702349,1.6065564,1.5862864,0.020297229,0,7.8740158,3.4376303,6.9255832,8.7722439,8.6614173,0.11082662,38.188976,4.7244094,6.5384005,4.5875389,6.9880047e-06,0.15907705,0.098280919,,0.014350198,0.064994687,0.23793482,0.77645589,,33.464567,39.726489,3.2475736,0,26.385021,20.215656,38.91289,39.76378,35.03937,0,0,0.012633342,4.7244094,0,2.210387,0
1705366241,,,230191,stress-ng-cpu [run],,3.9001205,0.35152819,0.00036883746,0.45363935,1.9321333,2.2043943,7.7369078,6.2497113e-07,0.012426566,0.1141925,0.001242895,0.01091816,0.00016852668,7.225443e-06,3.0998396e-05,,,,,,,,,,,,,85.366869,13.65068,,,,,,1.4583579e-06,9.5718216e-07,3.0730354e-08,1.5014526e-06,,,,,,13.616088,5.3807943,0.34154466,0.026358825,1.5869628,1.5650695,0.020791176,0,8.2352941,3.4096104,6.9545833,8.3446959,8.2352941,0.10940182,38.823529,4.3657251,6.4744153,4.5416622,1.618678e-05,0.15006554,0.097262643,,0.014089273,0.058174872,0.22660657,0.79029519,,34.457804,39.559029,3.2411372,0,26.392724,20.204005,38.703765,39.215686,34.117647,0,0,0.012731008,5.0980392,0,2.2043943,0
1705366246,,,230190,stress-ng-cpu [run],,3.9024561,0.3515144,0.00037791248,0.45394567,1.8290977,2.2029068,7.7360138,2.4756213e-07,0.011469923,0.11453185,0.0012596224,0.010983062,0.0001608038,9.4133203e-06,3.519993e-05,,,,,,,,,,,,,84.873636,14.168527,,,,,,1.7182028e-06,7.4243211e-07,3.0379062e-08,1.5115853e-06,,,,,,13.834572,6.2649118,0.33203386,0.028348873,1.5823511,1.5619314,0.020449811,0,7.5696606,3.3114854,6.9238284,8.4760061,8.3664669,0.10953917,37.849103,4.7808382,6.7220426,4.3360358,6.0869192e-06,0.18051325,0.097326625,,0.017918559,0.052604001,0.21591618,0.9673646,,33.068264,39.757916,3.2708765,0,26.407271,20.251954,38.893414,39.840319,34.262674,0,0,0.01337291,5.5776446,0,2.2029068,0
1705366246,,,230189,stress-ng-cpu [run],,3.9025279,0.35135981,0.0004186857,0.45340685,1.9484734,2.2055247,7.7419433,2.6843949e-07,0.011467207,0.11462947,0.0013273727,0.011533934,0.00016122999,8.3517316e-06,3.4414229e-05,,,,,,,,,,,,,85.199025,13.814469,,,,,,1.9668784e-06,8.5203627e-07,4.395138e-08,1.5553876e-06,,,,,,14.579764,5.843322,0.33872381,0.027811309,1.6224134,1.5251422,0.097279621,0,8.7364422,3.398388,6.8747904,8.4432178,7.9369666,0.50625122,36.895337,5.1590283,6.6526971,4.6065919,6.524235e-06,0.16021766,0.096371323,,0.020611334,0.060159106,0.22937648,0.9407673,,31.736308,39.834704,3.2715857,0,26.442143,20.165337,38.8887,40.081681,34.525805,0,0,0.015131385,5.5558766,0,2.2055247,0
1705366246,,,230191,stress-ng-cpu [run],,3.9024845,0.35133401,0.00044134696,0.45445429,2.0710848,2.2004413,7.7234466,2.194442e-07,0.011446203,0.11419523,0.0012434096,0.011517611,0.00016109907,7.1357087e-06,3.5065411e-05,,,,,,,,,,,,,85.044788,13.966699,,,,,,2.1553216e-06,9.2862719e-07,3.9437368e-08,1.603976e-06,,,,,,13.892526,5.4915757,0.33416836,0.03344268,1.5956266,1.5751458,0.020447942,0,8.4009504,3.3530827,6.8431512,8.5100083,8.4009504,0.10905793,37.59294,4.4004978,6.5793028,4.6157092,5.2742709e-06,0.1535877,0.099306729,,0.018643317,0.058214237,0.2215612,1.0033061,,33.192442,40.075259,3.2556418,0,26.61287,20.28253,39.091021,40.004526,34.803937,0,0,0.014272965,5.2005883,0,2.2004413,0
1705366246,,,230193,stress-ng-cpu [run],,3.9025685,0.35133685,0.00043708247,0.45433594,2.0158674,2.2010145,7.725687,2.7536459e-07,0.011133485,0.11409155,0.0012651073,0.011253862,0.00016108316,9.4877139e-06,3.6418906e-05,,,,,,,,,,,,,84.883639,14.130666,,,,,,2.057876e-06,8.5534005e-07,3.732346e-08,1.529332e-06,,,,,,14.123652,5.3472104,0.33496505,0.029773732,1.5979768,1.577674,0.020346762,0,8.7764417,3.4577464,6.886828,8.6871832,8.5765738,0.11060936,37.814894,4.6781312,6.6057576,4.6160907,6.8049005e-06,0.16462223,0.097563558,,0.015025502,0.062914315,0.22870653,1.0089785,,33.136763,39.583943,3.3972034,0,26.312674,20.275347,38.907385,39.374271,34.69614,0,0,0.012785429,4.6781312,0,2.2010145,0
1705366246,,,230192,stress-ng-cpu [run],,3.9026054,0.35130022,0.00038199506,0.45365794,1.9651609,2.204304,7.7364998,2.3653052e-07,0.011451435,0.1149556,0.0012735915,0.011074282,0.00016061508,1.3017036e-05,3.4196033e-05,,,,,,,,,,,,,85.121673,13.897667,,,,,,2.3592848e-06,8.9901459e-07,2.6852041e-08,1.5030179e-06,,,,,,13.12056,5.3386168,0.32294852,0.021377299,1.6730411,1.6510067,0.021972285,0,7.7819434,3.3929468,6.9193304,8.2797842,8.1710406,0.10874362,39.300842,5.0582632,6.5739353,4.5724218,5.714762e-06,0.15391888,0.093500005,,0.020315105,0.066346087,0.25216973,0.96197166,,34.242578,39.499313,3.2741938,0,26.30773,20.213084,39.39061,39.298814,33.851454,0,0,0.012789078,5.4473604,0,2.204304,0
