TS,SKT,CPU,PID,CMD,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization% in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),LLC total HITM (per instr) (excludes LLC prefetches),LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),UPI Data transmit BW (MB/sec) (only data),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),core initiated local dram read bandwidth (MB/sec),core initiated remote dram read bandwidth (MB/sec),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) 2MB large page load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_writes (MB/sec),IO_bandwidth_disk_or_network_reads (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_......Mispredicts_Resteers(%),TMA_......Clears_Resteers(%),TMA_......Unknown_Branches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_..Machine_Clears(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Lock_Latency(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Data_Sharing(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......False_Sharing(%),TMA_..Core_Bound(%),TMA_....Ports_Utilization(%),TMA_......Ports_Utilized_0(%),TMA_........AMX_Busy(%),TMA_......Ports_Utilized_1(%),TMA_......Ports_Utilized_2(%),TMA_......Ports_Utilized_3m(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_........FP_Vector_256b(%),TMA_........FP_Vector_512b(%),TMA_......Int_Vector_256b(%),TMA_..Heavy_Operations(%),TMA_....Microcode_Sequencer(%),TMA_Info_Thread_IPC,TMA_Info_System_SMT_2T_Utilization
1705366274,,,230275,stress-ng-cpu [run],,3.8989883,0.35130241,0.00038848804,0.45389077,1.8397666,2.2031733,7.7254124,2.3246188e-07,0.012417417,0.11465577,0.0012943593,0.011037125,0.00017189152,9.9310133e-06,3.4867265e-05,,,,,,,,,,,,,85.463597,13.552416,,,,,,2.5804286e-06,7.5566418e-07,3.5631345e-08,1.5075218e-06,,,,,,13.223958,5.3808209,0.34380449,0.031339887,1.6086532,1.5156583,0.092304074,0,7.8431373,3.4682312,6.8066244,8.7368262,8.2352941,0.50153204,38.431373,5.0980392,6.4727224,4.5530402,5.9187915e-06,0.1529488,0.11609312,,0.010363452,0.071845441,0.24559265,0.94373666,,33.333333,39.474753,3.3105579,0,26.202312,20.110476,38.337174,39.607843,34.117647,0,0,0.012715243,5.4901961,0,2.2031733,0
1705366274,,,230274,stress-ng-cpu [run],,3.8991666,0.35130101,0.0003613179,0.45326412,1.831359,2.2062192,7.7364159,2.488453e-07,0.011611805,0.11515928,0.0012757566,0.011036827,0.00015943903,8.7705649e-06,3.5514773e-05,,,,,,,,,,,,,84.794314,14.22524,,,,,,2.333975e-06,7.5209219e-07,3.6887778e-08,1.5114431e-06,,,,,,13.121022,5.7280257,0.33301338,0.036827718,1.6874248,1.6655742,0.021120528,0,7.3929961,3.4165678,6.9602914,8.6688614,8.5603113,0.10855013,39.299611,4.6692607,6.5399717,4.5960909,6.2354133e-06,0.15503573,0.096799919,,0.014083038,0.066834646,0.23575353,0.90507571,,34.63035,39.14401,3.3415261,0,26.115724,20.14105,39.547554,38.910506,33.449327,0,0,0.012886186,5.4611791,0,2.2062192,0
1705366274,,,230277,stress-ng-cpu [run],,3.9026081,0.35130554,0.00041604711,0.45288439,1.984643,2.2080691,7.7498368,2.8582412e-07,0.011577968,0.11659348,0.0012952287,0.010860931,0.00015117313,6.668432e-06,3.4612361e-05,,,,,,,,,,,,,85.037068,13.939102,,,,,,1.9439645e-06,8.8407575e-07,5.3036802e-08,1.5076905e-06,,,,,,12.933481,5.8188564,0.34795914,0.033388541,1.6579776,1.6374305,0.020712993,0,7.1146245,3.3610385,6.8095737,8.8056495,8.6956522,0.10999733,39.130435,5.1383399,6.5315494,4.5649954,6.7960511e-06,0.15109586,0.099850343,,0.010838321,0.054141796,0.23194215,0.93662908,,33.992095,39.165985,3.4114608,0,26.107415,20.023768,39.471512,39.130435,33.596838,0,0,0.014856642,5.5335968,0,2.2080691,0.00011798793
1705366274,,,230273,stress-ng-cpu [run],,3.8994827,0.3513018,0.0003797406,0.45422945,1.9052176,2.2015305,7.7206177,2.3520508e-07,0.011669745,0.11462336,0.0012867437,0.010954007,0.0001598052,7.9018374e-06,3.5198623e-05,,,,,,,,,,,,,85.218239,13.767078,,,,,,2.7017646e-06,7.4267629e-07,3.5817745e-08,1.5059968e-06,,,,,,13.169785,5.7479105,0.33812423,0.02927523,1.6595228,1.6374883,0.021238904,0,7.421875,3.3816005,6.6033579,8.7052145,8.59375,0.11146451,39.0625,4.6875,6.4985192,4.6143754,5.875782e-06,0.15532225,0.10411039,,0.012383325,0.061730155,0.22601954,0.79563561,,34.375,39.351429,3.3626209,0,26.207305,20.21638,39.321823,39.0625,33.59375,0,0,0.014176935,5.46875,0,2.2015305,0
1705366274,,,230276,stress-ng-cpu [run],,3.9024911,0.35130901,0.00035129094,0.4536978,1.777067,2.2041103,7.7357871,2.4304673e-07,0.012203996,0.11476996,0.0012946709,0.01129451,0.00016478362,8.9446324e-06,3.462351e-05,,,,,,,,,,,,,85.343974,13.668379,,,,,,2.0692395e-06,7.7077222e-07,3.0828814e-08,1.5086413e-06,,,,,,12.882178,5.4018631,0.34437674,0.04334292,1.5956185,1.5750679,0.019993886,0,7.480315,3.4766177,6.6241597,8.7713652,8.6614173,0.10994789,38.582677,5.1181102,6.4605494,4.5897706,6.3353213e-06,0.15817081,0.10023191,,0.015993719,0.061971699,0.22189905,0.9433587,,33.464567,39.625959,3.3145242,0,26.259551,20.140314,38.381105,39.76378,34.251969,0,0,0.012668026,5.511811,0,2.2041103,0
1705366279,,,230276,stress-ng-cpu [run],,3.9024916,0.35141598,0.00035897561,0.45415035,1.8821472,2.201914,7.7304325,2.258084e-07,0.011479294,0.11387614,0.0013469755,0.010772784,0.00016005848,7.6958565e-06,3.4549038e-05,,,,,,,,,,,,,85.373466,13.642389,,,,,,2.2722104e-06,9.3222328e-07,4.6754788e-08,1.489844e-06,,,,,,13.733159,5.3491516,0.36692144,0.035098403,1.6164404,1.5962348,0.020252981,0,8.3840076,3.4148991,6.8377054,8.6856387,8.5768163,0.1088224,38.205818,5.0681187,6.5678595,4.5125181,5.5334646e-06,0.16716578,0.089981078,,0.020269096,0.06443485,0.22551959,1.0070343,,33.137699,39.78544,3.3241642,0,26.55306,20.360384,39.608198,39.375384,33.91741,0,0,0.012894552,5.457974,0,2.201914,0
1705366279,,,230277,stress-ng-cpu [run],,3.9024027,0.35147205,0.00046109143,0.45334479,2.0038857,2.2058266,7.7452281,2.8411308e-07,0.011934537,0.11444798,0.0013292171,0.010840761,0.00015709908,6.4151473e-06,3.5086878e-05,,,,,,,,,,,,,84.766717,14.243273,,,,,,2.2574123e-06,7.4441134e-07,3.6791973e-08,1.5059406e-06,,,,,,13.916932,5.8149756,0.34316565,0.040189537,1.5887922,1.5682856,0.020538244,0,8.1019563,3.5699274,6.8900002,8.8095303,8.6956522,0.11387813,38.143103,5.1383399,6.4708948,4.5531513,7.1212301e-06,0.15233403,0.10101072,,0.012805258,0.058539632,0.24236266,0.83556622,,33.004763,39.52558,3.3246914,0,26.381516,20.165217,38.556014,39.130435,33.596838,0,0,0.013089071,5.5335968,0,2.2058266,0.00020903204
1705366279,,,230274,stress-ng-cpu [run],,3.9026451,0.35138779,0.00042443774,0.45315866,1.7712951,2.2067326,7.747033,2.1771904e-07,0.011390953,0.11365038,0.0013189458,0.011311382,0.0001616151,9.5794334e-06,3.5257666e-05,,,,,,,,,,,,,84.888602,14.122079,,,,,,1.900194e-06,7.9591358e-07,3.5104718e-08,1.5425152e-06,,,,,,13.382867,5.8429498,0.33900145,0.035268157,1.5943184,1.5746168,0.01977032,0,7.5399169,3.4218681,6.7967361,8.8400462,8.7304301,0.10961613,38.093314,4.7620528,6.5524302,4.3509261,5.6496866e-06,0.16979723,0.11507591,,0.015676931,0.072625979,0.26325944,1.1021416,,33.331261,39.676387,3.2988698,0,26.396523,20.147959,38.80537,39.683773,34.128045,0,0,0.012888548,5.5557282,0,2.2067326,1.5797752e-05
1705366279,,,230273,stress-ng-cpu [run],,3.9025754,0.35142544,0.00038244542,0.45123501,1.931156,2.2161401,7.7807537,2.3620158e-07,0.011410882,0.11375492,0.0013496256,0.010870282,0.0001611591,8.7148724e-06,3.4950252e-05,,,,,,,,,,,,,84.877227,14.096653,,,,,,3.2592409e-06,7.2556728e-07,3.8341307e-08,1.604035e-06,,,,,,13.423894,5.8604603,0.33692825,0.030543433,1.5813706,1.5615675,0.019733738,0,7.5634339,3.5165616,6.8036665,8.868332,8.7576603,0.11067173,37.900227,4.7769056,6.6219297,4.6150161,5.7909692e-06,0.15745881,0.10025936,,0.013772957,0.061736959,0.23495183,0.98932437,,33.123321,39.677756,3.2648269,0,26.368701,20.164671,38.683002,39.807547,34.23449,0,0,0.014658537,5.5730566,0,2.2161401,3.6520506e-05
1705366279,,,230275,stress-ng-cpu [run],,3.902572,0.35141798,0.00041312412,0.45384924,1.999638,2.2033749,7.7357649,2.4789959e-07,0.011520633,0.11444965,0.0013085331,0.01085983,0.00016858114,9.9339118e-06,3.5684684e-05,,,,,,,,,,,,,84.73545,14.315526,,,,,,1.9500452e-06,9.097374e-07,4.6096323e-08,1.5039797e-06,,,,,,14.064642,5.3283181,0.36548503,0.039084673,1.6303977,1.536765,0.093655759,0,8.7363243,3.4397224,6.8280759,8.6525003,8.1554774,0.49702292,38.058895,5.0486289,6.5715351,4.6345477,6.2134603e-06,0.158384,0.11608838,,0.010353992,0.077701281,0.24595129,1.0215588,,33.010266,39.652564,3.293736,0,26.472893,20.285559,39.60863,39.223963,33.786978,0,0,0.013265651,5.4369849,0,2.2033749,0
