TS,SKT,CPU,PID,CMD,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization% in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),LLC total HITM (per instr) (excludes LLC prefetches),LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),UPI Data transmit BW (MB/sec) (only data),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),core initiated local dram read bandwidth (MB/sec),core initiated remote dram read bandwidth (MB/sec),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) 2MB large page load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_writes (MB/sec),IO_bandwidth_disk_or_network_reads (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_......Mispredicts_Resteers(%),TMA_......Clears_Resteers(%),TMA_......Unknown_Branches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_..Machine_Clears(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Lock_Latency(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Data_Sharing(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......False_Sharing(%),TMA_..Core_Bound(%),TMA_....Ports_Utilization(%),TMA_......Ports_Utilized_0(%),TMA_........AMX_Busy(%),TMA_......Ports_Utilized_1(%),TMA_......Ports_Utilized_2(%),TMA_......Ports_Utilized_3m(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_........FP_Vector_256b(%),TMA_........FP_Vector_512b(%),TMA_......Int_Vector_256b(%),TMA_..Heavy_Operations(%),TMA_....Microcode_Sequencer(%),TMA_Info_Thread_IPC,TMA_Info_System_SMT_2T_Utilization
1705366159,0,,,,,3.067359,14.225486,0.072364662,0.51427413,3.9193076,1.9444882,217.2086,5.5894377e-07,0.011646874,0.11823446,0.0019161978,0.0086680355,0.00017776292,1.0221964e-05,3.2925962e-05,4.9870513e-08,2.3078229e-06,2.6003385e-07,4.4422342e-07,264.19027,248.15245,278.63443,58.240027,403.25564,6.3943617,14.383863,0,82.653786,16.266506,19.397436,1.7420174,148.81367,148.63602,297.44969,7.546387e-05,1.884971e-06,2.7430393e-07,1.5989637e-06,41.954116,58.045884,1.1863192,0,7.6722829e-05,17.720486,9.1530298,0.42537141,0.84727537,2.0004415,1.7876752,0.16734511,0,8.567456,4.4090893,7.3455375,8.8649526,8.1061336,0.75881896,26.485527,3.1829838,7.7067041,3.4817176,1.2363855e-05,0.80150425,0.28345971,0.0090470669,0.020642257,2.5775203,17.525199,0.17301182,0.001738181,23.302543,48.051508,4.2791413,0,28.762892,22.111198,32.143546,46.929035,40.337474,0,0,0.012555701,6.5915612,0,1.9444882,0.3783285
1705366159,1,,,,,3.1339087,14.093058,0.08302254,0.51471848,4.6188028,1.9428096,219.66546,5.5387552e-07,0.011413153,0.11801649,0.0020542619,0.0085847812,0.00018320879,9.8201407e-06,3.6061345e-05,1.5192389e-08,1.2724233e-06,8.1088594e-07,5.3778493e-07,279.56396,266.48082,289.21014,50.175707,371.62396,18.004742,15.307186,0,82.227888,16.661127,65.857662,44.864122,137.67974,151.85537,289.53512,7.3231603e-05,1.7755453e-06,2.5803362e-07,1.5894447e-06,33.747165,66.252835,1.188732,0,0,17.520852,9.0762468,0.42746855,0.8297343,2.0139785,1.8661519,0.18577196,0,8.4446053,4.4564504,7.392682,8.7188027,7.9294415,0.78936119,26.802509,3.1731195,7.5579886,3.4366777,1.1852648e-05,0.78569456,0.32658057,0.00650812,0.023257404,3.1222473,18.036725,0.17939652,0.0016077744,23.62939,51.983686,4.322008,0,28.695423,22.129672,31.093727,46.957836,40.504911,0,0,0.014263694,6.4529243,0,1.9428096,0.37627183
1705366165,0,,,,,3.081,12.751066,0.062424984,0.52320433,5.1242174,1.9112992,192.22366,5.5248283e-07,0.011969648,0.1188056,0.0019861645,0.0086039275,0.00017555069,1.2573412e-05,3.3871857e-05,5.5757495e-08,2.3511974e-06,2.334814e-07,3.6875588e-07,341.78515,304.54922,356.76225,50.499533,328.88989,5.188136,12.231958,0,82.624734,16.281821,25.179516,5.0952248,129.15481,140.18566,269.34047,7.5929674e-05,1.7472095e-06,2.4893603e-07,1.5714412e-06,36.191886,63.808114,0.9221995,0,0,17.057864,8.6502332,0.42565472,0.84304913,2.0459654,1.8414688,0.16788959,0,8.4076311,4.5340537,7.409687,8.745179,8.0144858,0.73069318,28.308469,3.2134086,7.7034249,3.4851888,1.275035e-05,0.82479617,0.30379232,0.0088249191,0.013850585,1.5414141,19.306667,0.21896889,0.0016789945,25.095061,47.839286,4.2589686,0,28.828398,22.239247,31.53873,45.888487,39.596201,0,0,0.012677874,6.2922865,0,1.9112992,0.34504006
1705366165,1,,,,,3.1764549,12.382026,0.070197079,0.51944292,5.3649196,1.9251394,193.83693,8.7638355e-07,0.011899379,0.11892969,0.0020195574,0.0088712255,0.00018301655,1.606628e-05,3.5002688e-05,1.820904e-08,1.7559412e-06,3.6289582e-07,4.4628456e-07,334.47643,298.24161,353.88781,56.515944,330.17178,15.918408,14.172701,0,82.685155,16.210512,14.986855,1.7170671,114.08279,124.90592,238.98872,7.5044184e-05,1.7484328e-06,2.4263034e-07,1.5853437e-06,37.679843,62.320157,1.0216562,0,0,17.438266,8.949936,0.44205913,0.84143969,2.0370603,1.7923969,0.18118226,0,8.4883296,4.4433485,7.3794472,8.735123,7.9332047,0.80191833,27.471716,3.6522638,7.7265063,3.5503456,1.9196608e-05,0.89865751,0.23533865,0.0066978728,0.11110776,2.2065406,17.067811,0.19335512,0.0016641076,23.819452,48.847032,4.4161169,0,28.764414,22.142044,31.371961,46.354896,39.908295,0,0,0.01266164,6.4466012,0,1.9251394,0.36839762
1705366171,0,,,,,2.9432135,14.258661,0.068879994,0.51849797,4.7433304,1.9286479,207.20175,5.4081825e-07,0.011721956,0.1190351,0.001977277,0.0086955164,0.00016202326,8.0051294e-06,3.3077081e-05,6.5474431e-08,2.6727702e-06,1.6950845e-07,3.1876384e-07,310.62798,273.27746,325.21205,57.28008,330.02789,5.2085745,8.9650422,0,82.54847,16.367461,48.02374,14.354205,152.73347,157.92271,310.65618,7.3840888e-05,1.7971388e-06,2.5275874e-07,1.6128677e-06,50.858265,49.141735,0.99035145,0.0059029482,0.00020285046,18.004506,9.3349499,0.43086609,0.83924947,2.0703034,1.8569703,0.18474614,0,8.6695563,4.6240977,7.5041528,8.973805,8.1618039,0.81200103,25.877607,3.3574564,7.5933454,3.33058,1.2666631e-05,0.81766838,0.30127207,0.013762325,0.01226389,2.7452561,20.559157,0.19714614,0.001984763,22.520151,50.536569,4.4335586,0,28.749042,22.179495,31.308802,47.144081,40.662817,0,0,0.013310234,6.4812646,0,1.9286479,0.35665478
1705366171,1,,,,,3.254542,11.526289,0.04939144,0.50605065,4.6510665,1.9760868,189.76904,6.6651587e-06,0.011782731,0.1176865,0.0019576042,0.0094086185,0.00016952354,8.0676305e-06,3.6044062e-05,6.7960778e-09,1.5300286e-06,4.187037e-07,4.4887184e-07,362.0484,366.35223,375.2575,66.913448,329.45748,15.838571,15.679507,0,82.827195,16.107281,21.414334,2.742031,106.44609,132.8396,239.28569,7.3200337e-05,1.6429185e-06,2.2548614e-07,1.5883393e-06,16.605843,83.394157,1.0223237,0,0,16.313685,8.0105028,0.44339606,0.84512156,1.8875979,1.7979606,0.14308777,0,8.3031824,4.1905597,7.3474302,8.7211201,8.0782275,0.64289257,30.577659,3.7660715,7.4481401,3.8594141,0.00016272189,0.6556011,0.26598323,0.0068336883,0.019909114,2.6490739,15.167536,0.27970386,0.0016023511,26.811588,47.530141,4.0280081,0,28.340879,21.80715,33.208969,44.387536,38.358071,0,0,0.012959752,6.0294648,0,1.9760868,0.2614995
1705366177,0,,,,,2.9364326,14.715765,0.11905655,0.52160669,2.6419056,1.9171533,212.07999,5.543544e-07,0.011777131,0.11884955,0.00206219,0.0084141893,0.00017343133,1.0018845e-05,3.2878119e-05,5.3095837e-08,2.2918737e-06,2.0953289e-06,1.0784635e-06,312.6088,277.10834,332.7133,64.750196,329.49231,5.2382602,8.1866934,0,82.346965,16.552692,30.503372,11.097112,165.49661,169.7792,335.27581,7.5227025e-05,1.9582409e-06,2.7213101e-07,1.5840477e-06,48.381506,51.618494,0.96936889,0.001930731,0.00032863506,17.297917,8.8837352,0.4413895,0.83656477,1.9814679,1.7406472,0.17355738,0,8.4141821,4.566275,7.4540966,8.9047129,8.0973391,0.80737378,27.673171,3.3417763,7.6279942,3.4069589,1.2246476e-05,0.77942335,0.26038247,0.010618069,0.013413593,3.9677583,19.838771,0.18253883,0.001695215,24.331394,48.042841,4.4290714,0,28.828324,22.256893,31.271919,46.124199,39.887978,0,0,0.013024572,6.2362212,0,1.9171533,0.37237553
1705366177,1,,,,,3.2130288,10.88684,0.092464225,0.50728013,1.7511461,1.9712974,176.52596,5.153129e-07,0.011958673,0.11854041,0.0019245841,0.0086218735,0.00017662024,1.0091676e-05,3.553941e-05,3.216127e-09,1.6916646e-06,2.5849353e-06,1.4061329e-06,354.8153,348.19325,365.66446,72.376624,329.0591,15.76666,16.649205,0,82.849887,16.08226,6.1293622,0.88560987,109.36602,141.65899,251.02501,7.4664307e-05,1.6651713e-06,2.322168e-07,1.5564532e-06,26.639922,73.360078,1.0627565,0,0,17.082869,8.6151413,0.44274665,0.84391654,1.9482367,1.8775876,0.17847983,0,8.4677277,4.2298801,7.3075439,8.9079237,8.1346588,0.77326487,28.728397,3.6075856,7.5307407,3.6283942,1.1564528e-05,0.71759479,0.28475625,0.0046582732,0.0200335,2.2610138,15.4097,0.21561936,0.0016217762,25.120811,49.321348,4.1670089,0,28.420337,21.806997,32.63073,45.280811,39.027744,0,0,0.013505722,6.2530669,0,1.9712974,0.29292256
1705366183,0,,,,,3.0340868,13.310431,0.066872398,0.51807186,5.2804534,1.9302342,199.55844,6.8667084e-07,0.011844409,0.11844264,0.0019575462,0.0087803387,0.00016498431,1.7764828e-05,3.5225867e-05,7.3137559e-08,2.2587577e-06,1.5139052e-07,2.6402729e-07,311.84836,269.5383,328.96329,57.47193,330.47911,5.2426874,10.608777,0,82.916342,16.007024,23.465835,5.8433523,139.51568,144.14666,283.66235,7.5721245e-05,1.8788725e-06,2.5981389e-07,1.5939922e-06,53.588067,46.411933,1.0007694,0,0,17.297479,8.7993097,0.4462497,0.8709401,2.0651717,1.8592766,0.17867141,0,8.4981697,4.5026876,7.3911697,8.8428235,8.0675536,0.7752699,27.69877,3.3910309,7.7100166,3.5624237,1.5443376e-05,0.8220277,0.37672531,0.0088729753,0.017152671,2.9448115,18.459455,0.1868969,0.002073875,24.307739,49.305605,4.3144888,0,28.743745,22.2269,31.003101,46.160927,39.890913,0,0,0.011939398,6.2700139,0,1.9302342,0.36463483
1705366183,1,,,,,3.1807529,12.592971,0.058915693,0.51019766,4.9370568,1.9600247,200.98314,8.959657e-07,0.011851062,0.11838392,0.0019549943,0.009342953,0.00017652701,1.8831016e-05,3.6705215e-05,2.1306972e-08,1.6169199e-06,4.0541958e-07,4.1147536e-07,392.01939,362.54858,384.15559,57.498252,327.24677,15.719757,14.838541,0,82.620622,16.292054,10.835099,1.4278489,108.31938,125.42812,233.7475,7.3617001e-05,1.7405513e-06,2.413204e-07,1.5964132e-06,20.808549,79.191451,0.94024798,0,0,16.961666,8.6660288,0.44571872,0.84137211,1.916768,1.7901934,0.15780455,0,8.2956375,4.3495696,7.3679544,8.6881428,7.9843287,0.70381412,28.916695,4.0330478,7.6665306,3.5436539,2.0542783e-05,0.76061693,0.25409053,0.0067857656,0.10602651,3.6835615,15.507686,0.2676872,0.0015787452,24.883647,48.80604,4.1646544,0,28.525185,21.973952,32.169616,45.433496,39.288976,0,0,0.013057435,6.1445198,0,1.9600247,0.31800777
